date,candidate,volume
2026-08-18,Alexandria Ocasio-Cortez,0.0325
2026-08-19,Alexandria Ocasio-Cortez,0.0235
2026-08-20,Alexandria Ocasio-Cortez,0.0256
2026-08-21,Alexandria Ocasio-Cortez,0.038
2026-08-22,Alexandria Ocasio-Cortez,0.0265
2026-08-23,Alexandria Ocasio-Cortez,0.0215
2026-08-24,Alexandria Ocasio-Cortez,0.0153
2026-08-25,Alexandria Ocasio-Cortez,0.0204
2026-08-26,Alexandria Ocasio-Cortez,0.0184
2026-08-27,Alexandria Ocasio-Cortez,0.026
2026-08-28,Alexandria Ocasio-Cortez,0.0421
2026-08-29,Alexandria Ocasio-Cortez,0.0185
2026-08-30,Alexandria Ocasio-Cortez,0.034
2026-08-31,Alexandria Ocasio-Cortez,0.026
2026-09-01,Alexandria Ocasio-Cortez,0.0352
2026-09-02,Alexandria Ocasio-Cortez,0.094
2026-09-03,Alexandria Ocasio-Cortez,0.0174
2026-09-04,Alexandria Ocasio-Cortez,0.0109
2026-09-05,Alexandria Ocasio-Cortez,0.0136
2026-09-06,Alexandria Ocasio-Cortez,0.0112
2026-09-07,Alexandria Ocasio-Cortez,0.0136
2026-09-08,Alexandria Ocasio-Cortez,0.0142
2026-09-09,Alexandria Ocasio-Cortez,0.005
2026-09-10,Alexandria Ocasio-Cortez,0.011
2026-09-11,Alexandria Ocasio-Cortez,0.0318
2026-09-12,Alexandria Ocasio-Cortez,0.0356
2026-09-13,Alexandria Ocasio-Cortez,0.0137
2026-09-20,Alexandria Ocasio-Cortez,0.0038
2026-09-21,Alexandria Ocasio-Cortez,0.0048
